"sku","product_name","brand_as_listed","manufacturer_status","category","variant_or_unit","description_as_listed","source_url","source_photo","supplier_resource","confirmation_notes","checked_at"
"ROCK6412","ROCKCOTE Q-RENDER HIGHBUILD NON-COMBUSTIBLE 12KG","Rockcote","Rockcote (brand listed by Lyndons; exact manufacturer not independently verified)","Render & finishes","Pack / unit: confirm with branch","Rockcote Quick Render High Build Non-Combustible is a high-performance, pre-blended render designed for superior adhesion, excellent sag resistance, and effortless workability. Engineered with premium raw materials, this product provides a reliable solution for levelling uneven surfaces with a single-coat application of up to 30mm. Fully compliant with AS1530.1 for non-combustible building materials, it is an ideal choice for projects requiring fire safety compliance without compromising quality or ease of use. With less than half the weight of standard render, it is easier to apply, better for the trade, and puts less stress on the building.
• Suitable for both interior and exterior applications.
• Adheres to properly prepared substrates, including brick, block, off-form concrete, AAC panels, and core-filled fibre cement sheeting.
• Lightweight composition reduces shrinkage while maintaining durability.
• Provides an excellent base coat for Rockcote Coloured Renders and Textures.
• Simple mix-and-apply process for a fast, efficient workflow and a smooth finish.
• Dries within 48 hours under normal conditions and must be sheltered from moisture during curing.
• Can be overcoated with Rockcote acrylic textures or coloured renders for a long-lasting system.
• Ensures optimal adhesion and performance when correct preparation and application methods are followed.
• Offers exceptional build capacity, ease of application, and non-combustible properties.","https://lyndons.com.au/products/rendering-products-equipment-bagged-render/rockcote-q-render-highbuild-non-combustible-12kg","https://lyndons.com.au/media/cache/435x435_webp/0/2/2802/8Kr5G5FI0lHS5dGV/rockcote-bagged-high-build-non-combustible-12kg-600x600.webp","https://rockcote.com.au/products/","","2026-09-21"
"DRIL16X390XMAX","PROMAC MASONRY CROSSHEAD DRILL BIT SDS MAX — 16MM X 390MM","PROMAC","PROMAC (brand listed by Lyndons; exact manufacturer not independently verified)","Machinery","16MM X 390MM","Professional SDS Plus Cross Head Masonry Drill Bits built for trade. Engineered and manufactured in Sheffield, England, these premium SDS Plus Cross Head masonry drill bits are manufactured from premium quality steel and fitted with precision-ground premium carbide tips for exceptional strength, durability, and long service life. Designed for fast, efficient drilling in reinforced concrete, brick, block and natural stone, the unique Armeg Cross Head design features four cutting edges working together to produce truer, rounder holes with a smoother drilling action, making them ideal for precise technical fixing applications.
Purpose-designed carbide side tips work in conjunction with the main carbide tip to deliver a more effective cutting action, while deep precision-machined clearways rapidly remove spoil from the cutting edge to improve drilling efficiency and extend tool life. The 30° co-planer faceting on both the carbide tip and supporting steel provides an uninterrupted path for spoil removal, reducing heat build-up and delivering faster drilling with exceptional durability, even in demanding conditions.","https://lyndons.com.au/products/machinery-equipment-machine-accessories/promac-masonry-crosshead-drill-bit-sds-max","https://lyndons.com.au/media/cache/435x435_webp/0/6/2796/gFynTSLzoDKq8qj1/max-head.webp","https://promac.com.au/collections/all","The source title and description disagree on SDS MAX / SDS Plus. Confirm the shank before ordering.","2026-09-21"
"DRIL16X540XMAX","PROMAC MASONRY CROSSHEAD DRILL BIT SDS MAX — 16MM X 540MM","PROMAC","PROMAC (brand listed by Lyndons; exact manufacturer not independently verified)","Machinery","16MM X 540MM","Professional SDS Plus Cross Head Masonry Drill Bits built for trade. Engineered and manufactured in Sheffield, England, these premium SDS Plus Cross Head masonry drill bits are manufactured from premium quality steel and fitted with precision-ground premium carbide tips for exceptional strength, durability, and long service life. Designed for fast, efficient drilling in reinforced concrete, brick, block and natural stone, the unique Armeg Cross Head design features four cutting edges working together to produce truer, rounder holes with a smoother drilling action, making them ideal for precise technical fixing applications.
Purpose-designed carbide side tips work in conjunction with the main carbide tip to deliver a more effective cutting action, while deep precision-machined clearways rapidly remove spoil from the cutting edge to improve drilling efficiency and extend tool life. The 30° co-planer faceting on both the carbide tip and supporting steel provides an uninterrupted path for spoil removal, reducing heat build-up and delivering faster drilling with exceptional durability, even in demanding conditions.","https://lyndons.com.au/products/machinery-equipment-machine-accessories/promac-masonry-crosshead-drill-bit-sds-max","https://lyndons.com.au/media/cache/435x435_webp/0/6/2796/gFynTSLzoDKq8qj1/max-head.webp","https://promac.com.au/collections/all","The source title and description disagree on SDS MAX / SDS Plus. Confirm the shank before ordering.","2026-09-21"
"DRIL16X920XMAX","PROMAC MASONRY CROSSHEAD DRILL BIT SDS MAX — 16MM X 920MM (SPECIAL ORDER)","PROMAC","PROMAC (brand listed by Lyndons; exact manufacturer not independently verified)","Machinery","16MM X 920MM (SPECIAL ORDER)","Professional SDS Plus Cross Head Masonry Drill Bits built for trade. Engineered and manufactured in Sheffield, England, these premium SDS Plus Cross Head masonry drill bits are manufactured from premium quality steel and fitted with precision-ground premium carbide tips for exceptional strength, durability, and long service life. Designed for fast, efficient drilling in reinforced concrete, brick, block and natural stone, the unique Armeg Cross Head design features four cutting edges working together to produce truer, rounder holes with a smoother drilling action, making them ideal for precise technical fixing applications.
Purpose-designed carbide side tips work in conjunction with the main carbide tip to deliver a more effective cutting action, while deep precision-machined clearways rapidly remove spoil from the cutting edge to improve drilling efficiency and extend tool life. The 30° co-planer faceting on both the carbide tip and supporting steel provides an uninterrupted path for spoil removal, reducing heat build-up and delivering faster drilling with exceptional durability, even in demanding conditions.","https://lyndons.com.au/products/machinery-equipment-machine-accessories/promac-masonry-crosshead-drill-bit-sds-max","https://lyndons.com.au/media/cache/435x435_webp/0/6/2796/gFynTSLzoDKq8qj1/max-head.webp","https://promac.com.au/collections/all","The source title and description disagree on SDS MAX / SDS Plus. Confirm the shank before ordering.","2026-09-21"
"DRIL18X390XMAX","PROMAC MASONRY CROSSHEAD DRILL BIT SDS MAX — 18MM X 390MM","PROMAC","PROMAC (brand listed by Lyndons; exact manufacturer not independently verified)","Machinery","18MM X 390MM","Professional SDS Plus Cross Head Masonry Drill Bits built for trade. Engineered and manufactured in Sheffield, England, these premium SDS Plus Cross Head masonry drill bits are manufactured from premium quality steel and fitted with precision-ground premium carbide tips for exceptional strength, durability, and long service life. Designed for fast, efficient drilling in reinforced concrete, brick, block and natural stone, the unique Armeg Cross Head design features four cutting edges working together to produce truer, rounder holes with a smoother drilling action, making them ideal for precise technical fixing applications.
Purpose-designed carbide side tips work in conjunction with the main carbide tip to deliver a more effective cutting action, while deep precision-machined clearways rapidly remove spoil from the cutting edge to improve drilling efficiency and extend tool life. The 30° co-planer faceting on both the carbide tip and supporting steel provides an uninterrupted path for spoil removal, reducing heat build-up and delivering faster drilling with exceptional durability, even in demanding conditions.","https://lyndons.com.au/products/machinery-equipment-machine-accessories/promac-masonry-crosshead-drill-bit-sds-max","https://lyndons.com.au/media/cache/435x435_webp/0/6/2796/gFynTSLzoDKq8qj1/max-head.webp","https://promac.com.au/collections/all","The source title and description disagree on SDS MAX / SDS Plus. Confirm the shank before ordering.","2026-09-21"
"DRIL18X540XMAX","PROMAC MASONRY CROSSHEAD DRILL BIT SDS MAX — 18MM X 540MM (SPECIAL ORDER)","PROMAC","PROMAC (brand listed by Lyndons; exact manufacturer not independently verified)","Machinery","18MM X 540MM (SPECIAL ORDER)","Professional SDS Plus Cross Head Masonry Drill Bits built for trade. Engineered and manufactured in Sheffield, England, these premium SDS Plus Cross Head masonry drill bits are manufactured from premium quality steel and fitted with precision-ground premium carbide tips for exceptional strength, durability, and long service life. Designed for fast, efficient drilling in reinforced concrete, brick, block and natural stone, the unique Armeg Cross Head design features four cutting edges working together to produce truer, rounder holes with a smoother drilling action, making them ideal for precise technical fixing applications.
Purpose-designed carbide side tips work in conjunction with the main carbide tip to deliver a more effective cutting action, while deep precision-machined clearways rapidly remove spoil from the cutting edge to improve drilling efficiency and extend tool life. The 30° co-planer faceting on both the carbide tip and supporting steel provides an uninterrupted path for spoil removal, reducing heat build-up and delivering faster drilling with exceptional durability, even in demanding conditions.","https://lyndons.com.au/products/machinery-equipment-machine-accessories/promac-masonry-crosshead-drill-bit-sds-max","https://lyndons.com.au/media/cache/435x435_webp/0/6/2796/gFynTSLzoDKq8qj1/max-head.webp","https://promac.com.au/collections/all","The source title and description disagree on SDS MAX / SDS Plus. Confirm the shank before ordering.","2026-09-21"
"DRIL20X370XMAX","PROMAC MASONRY CROSSHEAD DRILL BIT SDS MAX — 20MM X 370MM","PROMAC","PROMAC (brand listed by Lyndons; exact manufacturer not independently verified)","Machinery","20MM X 370MM","Professional SDS Plus Cross Head Masonry Drill Bits built for trade. Engineered and manufactured in Sheffield, England, these premium SDS Plus Cross Head masonry drill bits are manufactured from premium quality steel and fitted with precision-ground premium carbide tips for exceptional strength, durability, and long service life. Designed for fast, efficient drilling in reinforced concrete, brick, block and natural stone, the unique Armeg Cross Head design features four cutting edges working together to produce truer, rounder holes with a smoother drilling action, making them ideal for precise technical fixing applications.
Purpose-designed carbide side tips work in conjunction with the main carbide tip to deliver a more effective cutting action, while deep precision-machined clearways rapidly remove spoil from the cutting edge to improve drilling efficiency and extend tool life. The 30° co-planer faceting on both the carbide tip and supporting steel provides an uninterrupted path for spoil removal, reducing heat build-up and delivering faster drilling with exceptional durability, even in demanding conditions.","https://lyndons.com.au/products/machinery-equipment-machine-accessories/promac-masonry-crosshead-drill-bit-sds-max","https://lyndons.com.au/media/cache/435x435_webp/0/6/2796/gFynTSLzoDKq8qj1/max-head.webp","https://promac.com.au/collections/all","The source title and description disagree on SDS MAX / SDS Plus. Confirm the shank before ordering.","2026-09-21"
"DRIL20X520XMAX","PROMAC MASONRY CROSSHEAD DRILL BIT SDS MAX — 20MM X 520MM (SPECIAL ORDER)","PROMAC","PROMAC (brand listed by Lyndons; exact manufacturer not independently verified)","Machinery","20MM X 520MM (SPECIAL ORDER)","Professional SDS Plus Cross Head Masonry Drill Bits built for trade. Engineered and manufactured in Sheffield, England, these premium SDS Plus Cross Head masonry drill bits are manufactured from premium quality steel and fitted with precision-ground premium carbide tips for exceptional strength, durability, and long service life. Designed for fast, efficient drilling in reinforced concrete, brick, block and natural stone, the unique Armeg Cross Head design features four cutting edges working together to produce truer, rounder holes with a smoother drilling action, making them ideal for precise technical fixing applications.
Purpose-designed carbide side tips work in conjunction with the main carbide tip to deliver a more effective cutting action, while deep precision-machined clearways rapidly remove spoil from the cutting edge to improve drilling efficiency and extend tool life. The 30° co-planer faceting on both the carbide tip and supporting steel provides an uninterrupted path for spoil removal, reducing heat build-up and delivering faster drilling with exceptional durability, even in demanding conditions.","https://lyndons.com.au/products/machinery-equipment-machine-accessories/promac-masonry-crosshead-drill-bit-sds-max","https://lyndons.com.au/media/cache/435x435_webp/0/6/2796/gFynTSLzoDKq8qj1/max-head.webp","https://promac.com.au/collections/all","The source title and description disagree on SDS MAX / SDS Plus. Confirm the shank before ordering.","2026-09-21"
"DRIL20X920XMAX","PROMAC MASONRY CROSSHEAD DRILL BIT SDS MAX — 20MM X 920MM (SPECIAL ORDER)","PROMAC","PROMAC (brand listed by Lyndons; exact manufacturer not independently verified)","Machinery","20MM X 920MM (SPECIAL ORDER)","Professional SDS Plus Cross Head Masonry Drill Bits built for trade. Engineered and manufactured in Sheffield, England, these premium SDS Plus Cross Head masonry drill bits are manufactured from premium quality steel and fitted with precision-ground premium carbide tips for exceptional strength, durability, and long service life. Designed for fast, efficient drilling in reinforced concrete, brick, block and natural stone, the unique Armeg Cross Head design features four cutting edges working together to produce truer, rounder holes with a smoother drilling action, making them ideal for precise technical fixing applications.
Purpose-designed carbide side tips work in conjunction with the main carbide tip to deliver a more effective cutting action, while deep precision-machined clearways rapidly remove spoil from the cutting edge to improve drilling efficiency and extend tool life. The 30° co-planer faceting on both the carbide tip and supporting steel provides an uninterrupted path for spoil removal, reducing heat build-up and delivering faster drilling with exceptional durability, even in demanding conditions.","https://lyndons.com.au/products/machinery-equipment-machine-accessories/promac-masonry-crosshead-drill-bit-sds-max","https://lyndons.com.au/media/cache/435x435_webp/0/6/2796/gFynTSLzoDKq8qj1/max-head.webp","https://promac.com.au/collections/all","The source title and description disagree on SDS MAX / SDS Plus. Confirm the shank before ordering.","2026-09-21"
"DRIL22X370XMAX","PROMAC MASONRY CROSSHEAD DRILL BIT SDS MAX — 22MM X 370MM","PROMAC","PROMAC (brand listed by Lyndons; exact manufacturer not independently verified)","Machinery","22MM X 370MM","Professional SDS Plus Cross Head Masonry Drill Bits built for trade. Engineered and manufactured in Sheffield, England, these premium SDS Plus Cross Head masonry drill bits are manufactured from premium quality steel and fitted with precision-ground premium carbide tips for exceptional strength, durability, and long service life. Designed for fast, efficient drilling in reinforced concrete, brick, block and natural stone, the unique Armeg Cross Head design features four cutting edges working together to produce truer, rounder holes with a smoother drilling action, making them ideal for precise technical fixing applications.
Purpose-designed carbide side tips work in conjunction with the main carbide tip to deliver a more effective cutting action, while deep precision-machined clearways rapidly remove spoil from the cutting edge to improve drilling efficiency and extend tool life. The 30° co-planer faceting on both the carbide tip and supporting steel provides an uninterrupted path for spoil removal, reducing heat build-up and delivering faster drilling with exceptional durability, even in demanding conditions.","https://lyndons.com.au/products/machinery-equipment-machine-accessories/promac-masonry-crosshead-drill-bit-sds-max","https://lyndons.com.au/media/cache/435x435_webp/0/6/2796/gFynTSLzoDKq8qj1/max-head.webp","https://promac.com.au/collections/all","The source title and description disagree on SDS MAX / SDS Plus. Confirm the shank before ordering.","2026-09-21"
